lot,gridPips
0.01,80
0.01,80
0.01,80
0.01,80
0.01,80
0.02,80
0.02,80
0.02,80
0.02,80
0.02,80
0.03,80
0.03,80
0.03,80
0.04,80
0.04,80
0.05,80
0.05,80
0.06,80
0.06,80
0.06,80
0.06,80
0.08,80
0.08,80
0.09,80
0.09,80
0.1,80
0.1,80
0.11,80
0.11,80
0.12,80
0.12,80
0.13,80
0.13,80
0.14,80
0.14,80
0.15,80
0.15,80
0.16,80
0.16,80
0.16,80
0.16,80
0.18,80
0.18,80
0.19,80
0.19,80
0.2,80
0.2,80
0.21,80
0.21,80
0.22,80
0.22,80
0.23,80
0.23,80
0.24,80
0.24,80
0.25,80
0.25,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
0.26,80
