lot,gridPips
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,100
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,200
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,300
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,400
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,500
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,600
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,700
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,800
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,900
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1000
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1100
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1200
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1300
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1400
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1500
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1600
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1700
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1800
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1900
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,1900
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,2100
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,2200
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,20
0.01,2300
0.01,20
0.01,20
0.01,20
0.01,20
