Lot,GridPoints,TpMoney
0.01,470,2.35
0.01,470,4.7
0.01,470,7.05
0.01,470,9.4
0.01,470,11.75
0.02,470,16.45
0.02,470,21.15
0.02,470,25.85
0.02,470,30.55
0.02,470,35.25
0.03,470,42.3
0.03,470,49.35
0.03,470,56.4
0.04,470,65.8
0.04,470,75.2
0.05,470,86.95
0.05,470,98.7
0.06,470,112.8
0.06,470,126.9
0.07,470,143.35
0.07,470,159.8
0.08,470,178.6
0.08,470,197.4
0.09,470,218.55
0.09,470,239.7
0.1,470,263.2
0.1,470,286.7
0.11,470,312.55
0.11,470,338.4
0.12,470,366.6
0.12,470,394.8
0.13,470,425.35
0.13,470,455.9
0.14,470,488.8
0.14,470,521.7
0.15,470,556.95
0.15,470,592.2
0.16,470,629.8
0.16,470,667.4
0.17,470,707.35
0.17,470,747.3
0.18,470,789.6
0.18,470,831.9
0.19,470,876.55
0.19,470,921.2
0.2,470,968.2
0.2,470,1015.2
0.21,470,1064.55
0.21,470,1113.9
0.22,470,1165.6
0.22,470,1217.3
0.23,470,1271.35
0.23,470,1325.4
0.24,470,1381.8
0.24,470,1438.2
0.25,470,1496.95
0.25,470,1555.7
0.26,470,1616.8
0.26,470,1677.9
0.27,470,1741.35
0.27,470,1804.8
0.28,470,1870.6
0.28,470,1936.4
0.29,470,2004.55
0.29,470,2072.7
0.3,470,2143.2
0.3,470,2213.7
0.31,470,2286.55
0.31,470,2359.4
0.32,470,2434.6
0.32,470,2509.8
0.33,470,2587.35
0.33,470,2664.9
0.34,470,2744.8
0.34,470,2824.7
0.35,470,2906.95
0.35,470,2989.2
0.36,470,3073.8
0.36,470,3158.4
0.37,470,3245.35
0.37,470,3332.3
0.38,470,3421.6
0.38,470,3510.9
0.39,470,3602.55
0.39,470,3694.2
0.4,470,3788.2
0.4,470,3882.2
0.41,470,3978.55
0.41,470,4074.9
0.42,470,4173.6
0.42,470,4272.3
0.43,470,4373.35
0.43,470,4474.4
0.44,470,4577.8
0.44,470,4681.2
0.45,470,4786.95
0.45,470,4892.7
0.46,470,5000.8
0.46,470,5108.9
0.47,470,5219.35
0.47,470,5329.8
0.48,470,5442.6
0.48,470,5555.4
0.49,470,5670.55
0.49,470,5785.7
0.5,470,5903.2
0.5,470,6020.7
0.51,470,6140.55
0.51,470,6260.4
0.52,470,6382.6
0.52,470,6504.8
0.53,470,6629.35
0.53,470,6753.9
0.54,470,6880.8
0.54,470,7007.7
0.55,470,7136.95
0.55,470,7266.2
0.56,470,7397.8
0.56,470,7529.4
0.57,470,7663.35
0.57,470,7797.3
0.58,470,7933.6
0.58,470,8069.9
0.59,470,8208.55
0.59,470,8347.2
0.6,470,8488.2
0.6,470,8629.2
0.61,470,8772.55
0.61,470,8915.9
0.62,470,9061.6
0.62,470,9207.3
0.63,470,9355.35
0.63,470,9503.4
0.64,470,9653.8
0.64,470,9804.2
0.65,470,9956.95
0.65,470,10109.7
0.66,470,10264.8
0.66,470,10419.9
0.67,470,10577.35
0.67,470,10734.8
0.68,470,10894.6
0.68,470,11054.4
0.69,470,11216.55
0.69,470,11378.7
0.7,470,11543.2
0.7,470,11707.7
0.71,470,11874.55
0.71,470,12041.4
0.72,470,12210.6
0.72,470,12379.8
0.73,470,12551.35
0.73,470,12722.9
0.74,470,12896.8
0.74,470,13070.7
0.75,470,13246.95
0.75,470,13423.2
0.76,470,13601.8
0.76,470,13780.4
0.77,470,13961.35
0.77,470,14142.3
0.78,470,14325.6
0.78,470,14508.9
0.79,470,14694.55
0.79,470,14880.2
0.8,470,15068.2
0.8,470,15256.2
0.81,470,15446.55
0.81,470,15636.9
0.82,470,15829.6
0.82,470,16022.3
0.83,470,16217.35
0.83,470,16412.4
0.84,470,16609.8
0.84,470,16807.2
0.85,470,17006.95
0.85,470,17206.7
0.86,470,17408.8
0.86,470,17610.9
0.87,470,17815.35
0.87,470,18019.8
0.88,470,18226.6
0.88,470,18433.4
0.89,470,18642.55
0.89,470,18851.7
0.9,470,19063.2
0.9,470,19274.7
0.91,470,19488.55
0.91,470,19702.4
0.92,470,19918.6
0.92,470,20134.8
0.93,470,20353.35
0.93,470,20571.9
0.94,470,20792.8
0.94,470,21013.7
0.95,470,21236.95
0.95,470,21460.2
0.96,470,21685.8
