lot,gridPips,tpMoney
0.01,720,3.6
0.01,720,7.2
0.01,720,10.8
0.01,720,14.4
0.01,720,18
0.02,720,25.2
0.02,720,32.4
0.02,720,39.6
0.02,720,46.8
0.02,720,54
0.03,720,64.8
0.03,720,75.6
0.03,720,86.4
0.04,720,100.8
0.04,720,115.2
0.05,720,133.2
0.05,720,151.2
0.06,720,172.8
0.06,720,194.4
0.07,720,219.6
0.07,720,244.8
0.08,720,273.6
0.08,720,302.4
0.09,720,334.8
0.09,720,367.2
0.1,720,403.2
0.1,720,439.2
0.11,720,478.8
0.11,720,518.4
0.12,720,561.6
0.12,720,604.8
0.13,720,651.6
0.13,720,698.4
0.14,720,748.8
0.14,720,799.2
0.15,720,853.2
0.15,720,907.2
0.16,720,964.8
0.16,720,1022.4
0.17,720,1083.6
0.17,720,1144.8
0.18,720,1209.6
0.18,720,1274.4
0.19,720,1342.8
0.19,720,1411.2
0.2,720,1483.2
0.2,720,1555.2
0.21,720,1630.8
0.21,720,1706.4
0.22,720,1785.6
0.22,720,1864.8
0.23,720,1947.6
0.23,720,2030.4
0.24,720,2116.8
0.24,720,2203.2
0.25,720,2293.2
0.25,720,2383.2
0.26,720,2476.8
0.26,720,2570.4
0.27,720,2667.6
0.27,720,2764.8
0.28,720,2865.6
0.28,720,2966.4
0.29,720,3070.8
0.29,720,3175.2
0.3,720,3283.2
0.3,720,3391.2
0.31,720,3502.8
0.31,720,3614.4
0.32,720,3729.6
0.32,720,3844.8
0.33,720,3963.6
0.33,720,4082.4
0.34,720,4204.8
0.34,720,4327.2
0.35,720,4453.2
0.35,720,4579.2
0.36,720,4708.8
0.36,720,4838.4
0.37,720,4971.6
0.37,720,5104.8
0.38,720,5241.6
0.38,720,5378.4
0.39,720,5518.8
0.39,720,5659.2
0.4,720,5803.2
0.4,720,5947.2
0.41,720,6094.8
0.41,720,6242.4
0.42,720,6393.6
0.42,720,6544.8
0.43,720,6699.6
0.43,720,6854.4
0.44,720,7012.8
0.44,720,7171.2
0.45,720,7333.2
0.45,720,7495.2
0.46,720,7660.8
0.46,720,7826.4
0.47,720,7995.6
0.47,720,8164.8
0.48,720,8337.6
0.48,720,8510.4
0.49,720,8686.8
0.49,720,8863.2
0.5,720,9043.2
0.5,720,9223.2
0.51,720,9406.8
0.51,720,9590.4
0.52,720,9777.6
0.52,720,9964.8
0.53,720,10155.6
0.53,720,10346.4
0.54,720,10540.8
0.54,720,10735.2
0.55,720,10933.2
0.55,720,11131.2
0.56,720,11332.8
0.56,720,11534.4
0.57,720,11739.6
0.57,720,11944.8
0.58,720,12153.6
0.58,720,12362.4
0.59,720,12574.8
0.59,720,12787.2
0.6,720,13003.2
0.6,720,13219.2
0.61,720,13438.8
0.61,720,13658.4
0.62,720,13881.6
0.62,720,14104.8
0.63,720,14331.6
0.63,720,14558.4
0.64,720,14788.8
0.64,720,15019.2
0.65,720,15253.2
0.65,720,15487.2
0.66,720,15724.8
0.66,720,15962.4
0.67,720,16203.6
0.67,720,16444.8
0.68,720,16689.6
0.68,720,16934.4
0.69,720,17182.8
0.69,720,17431.2
0.7,720,17683.2
0.7,720,17935.2
0.71,720,18190.8
0.71,720,18446.4
0.72,720,18705.6
0.72,720,18964.8
0.73,720,19227.6
0.73,720,19490.4
0.74,720,19756.8
