lot,gridPips,tpMoney
0.01,80,1
0.01,80,2
0.01,80,3
0.01,80,4
0.01,80,5
0.02,80,7
0.02,80,9
0.02,80,11
0.02,80,13
0.02,80,15
0.03,80,18
0.03,80,21
0.03,80,24
0.04,80,28
0.04,80,32
0.05,80,37
0.05,80,42
0.06,80,48
0.06,80,54
0.07,80,61
0.07,80,68
0.08,80,76
0.08,80,84
0.09,80,93
0.09,80,102
0.1,80,112
0.1,80,122
0.11,80,133
0.11,80,144
0.12,80,156
0.12,80,168
0.13,80,181
0.13,80,194
0.14,80,208
0.14,80,222
0.15,80,237
0.15,80,252
0.16,80,268
0.16,80,284
0.17,80,301
0.17,80,318
0.18,80,336
0.18,80,354
0.19,80,373
0.19,80,392
0.2,80,412
0.2,80,432
0.21,80,453
0.21,80,474
0.22,80,496
0.22,80,518
0.23,80,541
0.23,80,564
0.24,80,588
0.24,80,612
0.25,80,637
0.25,80,662
0.26,80,688
0.26,80,714
0.27,80,741
0.27,80,768
0.28,80,796
0.28,80,824
0.29,80,853
0.29,80,882
0.3,80,912
0.3,80,942
0.31,80,973
0.31,80,1004
0.32,80,1036
0.32,80,1068
0.33,80,1101
0.33,80,1134
0.34,80,1168
0.34,80,1202
0.35,80,1237
0.35,80,1272
0.36,80,1308
0.36,80,1344
0.37,80,1381
0.37,80,1418
0.38,80,1456
0.38,80,1494
0.39,80,1533
0.39,80,1572
0.4,80,1612
0.4,80,1652
0.41,80,1693
0.41,80,1734
0.42,80,1776
0.42,80,1818
0.43,80,1861
0.43,80,1904
0.44,80,1948
0.44,80,1992
0.45,80,2037
0.45,80,2082
0.46,80,2128
0.46,80,2174
0.47,80,2221
0.47,80,2268
0.48,80,2316
0.48,80,2364
0.49,80,2413
0.49,80,2462
0.5,80,2512
0.5,80,2562
0.51,80,2613
0.51,80,2664
0.52,80,2716
0.52,80,2768
0.53,80,2821
0.53,80,2874
0.54,80,2928
0.54,80,2982
0.55,80,3037
0.55,80,3092
0.56,80,3148
0.56,80,3204
0.57,80,3261
0.57,80,3318
0.58,80,3376
0.58,80,3434
0.59,80,3493
0.59,80,3552
0.6,80,3612
0.6,80,3672
0.61,80,3733
0.61,80,3794
0.62,80,3856
0.62,80,3918
0.63,80,3981
0.63,80,4044
0.64,80,4108
0.64,80,4172
0.65,80,4237
0.65,80,4302
0.66,80,4368
0.66,80,4434
0.67,80,4501
0.67,80,4568
0.68,80,4636
0.68,80,4704
0.69,80,4773
0.69,80,4842
0.7,80,4912
0.7,80,4982
0.71,80,5053
0.71,80,5124
0.72,80,5196
0.72,80,5268
0.73,80,5341
0.73,80,5414
0.74,80,5488
0.74,80,5562
0.75,80,5637
0.75,80,5712
0.76,80,5788
0.76,80,5864
0.77,80,5941
0.77,80,6018
0.78,80,6096
0.78,80,6174
0.79,80,6253
0.79,80,6332
0.8,80,6412
0.8,80,6492
0.81,80,6573
0.81,80,6654
0.82,80,6736
0.82,80,6818
0.83,80,6901
0.83,80,6984
0.84,80,7068
0.84,80,7152
0.85,80,7237
0.85,80,7322
0.86,80,7408
0.86,80,7494
0.87,80,7581
0.87,80,7668
0.88,80,7756
0.88,80,7844
0.89,80,7933
0.89,80,8022
0.9,80,8112
0.9,80,8202
0.91,80,8293
0.91,80,8384
0.92,80,8476
0.92,80,8568
0.93,80,8661
0.93,80,8754
0.94,80,8848
0.94,80,8942
0.95,80,9037
0.95,80,9132
0.96,80,9228
0.96,80,9324
0.97,80,9421
0.97,80,9518
0.98,80,9616
0.98,80,9714
0.99,80,9813
0.99,80,9912
1,80,10012
1,80,10112
1.01,80,10213
1.01,80,10314
1.02,80,10416
1.02,80,10518
1.03,80,10621
1.03,80,10724
1.04,80,10828
1.04,80,10932
1.05,80,11037
1.05,80,11142
1.06,80,11248
1.06,80,11354
1.07,80,11461
1.07,80,11568
1.08,80,11676
1.08,80,11784
1.09,80,11893
1.09,80,12002
1.1,80,12112
1.1,80,12222
1.11,80,12333
1.11,80,12444
1.12,80,12556
1.12,80,12668
1.13,80,12781
1.13,80,12894
1.14,80,13008
1.14,80,13122
1.15,80,13237
1.15,80,13352
1.16,80,13468
1.16,80,13584
1.17,80,13701
1.17,80,13818
1.18,80,13936
1.18,80,14054
1.19,80,14173
1.19,80,14292
1.2,80,14412
1.2,80,14532
1.21,80,14653
1.21,80,14774
