lot,gridPips,tpMoney
0.01,400,3
0.01,400,6.08
0.01,400,9.18
0.01,400,12.32
0.01,400,15.5
0.01,400,18.72
0.01,400,21.98
0.01,400,25.28
0.01,400,28.62
0.01,400,32
0.02,400,38.64
0.02,400,45.36
0.02,400,52.16
0.02,400,59.04
0.02,400,66
0.02,400,73.04
0.02,400,80.16
0.02,400,87.36
0.02,400,94.64
0.02,400,102
0.03,400,112.86
0.03,400,123.84
0.03,400,134.94
0.03,400,146.16
0.03,400,157.5
0.03,400,168.96
0.03,400,180.54
0.03,400,192.24
0.03,400,204.06
0.03,400,216
0.04,400,231.68
0.04,400,247.52
0.04,400,263.52
0.04,400,279.68
0.04,400,296
0.04,400,312.48
0.04,400,329.12
0.04,400,345.92
0.04,400,362.88
0.04,400,380
0.05,400,401.1
0.05,400,422.4
0.05,400,443.9
0.05,400,465.6
0.05,400,487.5
0.05,400,509.6
0.05,400,531.9
0.05,400,554.4
0.05,400,577.1
0.05,400,600
0.06,400,627.12
0.06,400,654.48
0.06,400,682.08
0.06,400,709.92
0.06,400,738
0.06,400,766.32
0.06,400,794.88
0.06,400,823.68
0.06,400,852.72
0.06,400,882
0.07,400,915.74
0.07,400,949.76
0.07,400,984.06
0.07,400,1018.64
0.07,400,1053.5
0.07,400,1088.64
0.07,400,1124.06
0.07,400,1159.76
0.07,400,1195.74
0.07,400,1232
0.08,400,1272.96
0.08,400,1314.24
0.08,400,1355.84
0.08,400,1397.76
0.08,400,1440
0.08,400,1482.56
0.08,400,1525.44
0.08,400,1568.64
0.08,400,1612.16
0.08,400,1656
0.09,400,1704.78
0.09,400,1753.92
0.09,400,1803.42
0.09,400,1853.28
0.09,400,1903.5
0.09,400,1954.08
0.09,400,2005.02
0.09,400,2056.32
0.09,400,2107.98
0.09,400,2160
0.1,400,2217.2
0.1,400,2274.8
0.1,400,2332.8
0.1,400,2391.2
0.1,400,2450
0.1,400,2509.2
0.1,400,2568.8
0.1,400,2628.8
0.1,400,2689.2
0.1,400,2750
0.11,400,2816.22
0.11,400,2882.88
0.11,400,2949.98
0.11,400,2965.35
0.11,400,3026.99
0.11,400,3089.28
0.11,400,3152.22
0.11,400,3215.81
0.11,400,3280.04
0.11,400,3344.92
0.12,400,3410.45
0.12,400,3476.62
0.12,400,3543.44
0.12,400,3610.91
0.12,400,3679.03
0.12,400,3747.79
0.12,400,3817.19
0.12,400,3887.25
0.12,400,3957.95
0.12,400,4029.3
0.13,400,4101.29
0.13,400,4173.93
0.13,400,4247.22
0.13,400,4321.16
0.13,400,4395.74
0.13,400,4470.97
0.13,400,4546.84
0.13,400,4623.37
0.13,400,4700.54
0.13,400,4778.35
0.14,400,4856.81
0.14,400,4935.92
0.14,400,5015.68
0.14,400,5096.08
0.14,400,5177.13
0.14,400,5258.83
0.14,400,5341.17
0.14,400,5424.16
0.14,400,5507.8
0.14,400,5592.08
0.15,400,5677.01
0.15,400,5762.59
0.15,400,5848.82
0.15,400,5935.69
0.15,400,6023.21
0.15,400,6111.37
0.15,400,6200.18
0.15,400,6289.64
0.15,400,6379.75
0.15,400,6470.5
0.16,400,6561.9
0.16,400,6653.94
0.16,400,6746.63
0.16,400,6839.97
0.16,400,6933.96
0.16,400,7028.59
0.16,400,7123.87
0.16,400,7219.8
0.16,400,7316.37
0.16,400,7413.59
0.17,400,7511.46
0.17,400,7609.97
0.17,400,7709.13
0.17,400,7808.94
0.17,400,7909.39
0.17,400,8010.49
0.17,400,8112.24
0.17,400,8214.63
0.17,400,8317.68
0.17,400,8421.36
0.18,400,8525.7
0.18,400,8630.68
0.18,400,8736.31
0.18,400,8842.58
0.18,400,8949.5
0.18,400,9057.07
0.18,400,9165.29
0.18,400,9274.15
0.18,400,9383.66
0.18,400,9493.82
0.19,400,9604.62
0.19,400,9716.07
0.19,400,9828.16
0.19,400,9940.91
0.19,400,10054.3
0.19,400,10168.33
0.19,400,10283.02
0.19,400,10398.35
0.19,400,10514.32
0.19,400,10630.95
0.2,400,10748.22
0.2,400,10866.14
0.2,400,10984.7
0.2,400,11103.91
0.2,400,11223.77
0.2,400,11344.27
0.2,400,11465.42
0.2,400,11587.22
0.2,400,11709.67
0.2,400,11832.76
