lot,gridPoints,tpMoney
0.01,550,2.75
0.01,550,5.5
0.01,550,8.25
0.01,550,11
0.01,550,13.75
0.02,550,19.25
0.02,550,24.75
0.02,550,30.25
0.02,550,35.75
0.02,550,41.25
0.03,550,49.5
0.03,550,57.75
0.03,550,66
0.03,550,74.25
0.03,550,82.5
0.04,550,93.5
0.04,550,104.5
0.04,550,115.5
0.04,550,126.5
0.04,550,137.5
0.05,550,151.25
0.05,550,165
0.05,550,178.75
0.05,550,192.5
0.05,550,206.25
0.06,550,222.75
0.06,550,239.25
0.06,550,255.75
0.06,550,272.25
0.06,550,288.75
0.07,550,308
0.07,550,327.25
0.07,550,346.5
0.07,550,365.75
0.07,550,385
0.08,550,407
0.08,550,429
0.08,550,451
0.08,550,473
0.08,550,495
0.09,550,519.75
0.09,550,544.5
0.09,550,569.25
0.09,550,594
0.09,550,618.75
0.1,550,646.25
0.1,550,673.75
0.1,550,701.25
0.1,550,728.75
0.1,550,756.25
0.11,550,786.5
0.11,550,816.75
0.11,550,847
0.11,550,877.25
0.11,550,907.5
0.12,550,940.5
0.12,550,973.5
0.12,550,1006.5
0.12,550,1039.5
0.12,550,1072.5
0.13,550,1108.25
0.13,550,1144
0.13,550,1179.75
0.13,550,1215.5
0.13,550,1251.25
0.14,550,1289.75
0.14,550,1328.25
0.14,550,1366.75
0.14,550,1405.25
0.14,550,1443.75
0.15,550,1485
0.15,550,1526.25
0.15,550,1567.5
0.15,550,1608.75
0.15,550,1650
0.16,550,1694
0.16,550,1738
0.16,550,1782
0.16,550,1826
0.16,550,1870
0.17,550,1916.75
0.17,550,1963.5
0.17,550,2010.25
0.17,550,2057
0.17,550,2103.75
0.18,550,2153.25
0.18,550,2202.75
0.18,550,2252.25
0.18,550,2301.75
0.18,550,2351.25
0.19,550,2403.5
0.19,550,2455.75
0.19,550,2508
0.19,550,2560.25
0.19,550,2612.5
0.2,550,2667.5
0.2,550,2722.5
0.2,550,2777.5
0.2,550,2832.5
0.2,550,2887.5
0.21,550,2945.25
0.21,550,3003
0.21,550,3060.75
0.21,550,3118.5
0.21,550,3176.25
0.22,550,3236.75
0.22,550,3297.25
0.22,550,3357.75
0.22,550,3418.25
0.22,550,3478.75
0.23,550,3542
0.23,550,3605.25
0.23,550,3668.5
0.23,550,3731.75
0.23,550,3795
0.24,550,3861
0.24,550,3927
0.24,550,3993
0.24,550,4059
0.24,550,4125
0.25,550,4193.75
0.25,550,4262.5
0.25,550,4331.25
0.25,550,4400
0.25,550,4468.75
0.26,550,4540.25
0.26,550,4611.75
0.26,550,4683.25
0.26,550,4754.75
0.26,550,4826.25
0.27,550,4900.5
0.27,550,4974.75
0.27,550,5049
0.27,550,5123.25
0.27,550,5197.5
0.28,550,5274.5
0.28,550,5351.5
0.28,550,5428.5
0.28,550,5505.5
0.28,550,5582.5
0.29,550,5662.25
0.29,550,5742
0.29,550,5821.75
0.29,550,5901.5
0.29,550,5981.25
0.3,550,6063.75
0.3,550,6146.25
0.3,550,6228.75
0.3,550,6311.25
0.3,550,6393.75
0.31,550,6479
0.31,550,6564.25
0.31,550,6649.5
0.31,550,6734.75
0.31,550,6820
0.32,550,6908
