lot,gridPips,tpMoney
0.01,90,10
0.01,90,10
0.01,90,10
0.01,90,10
0.01,90,18
0.02,90,18
0.02,90,18
0.02,90,18
0.02,90,18
0.02,90,18
0.03,90,18
0.03,90,18
0.03,90,18
0.04,90,18
0.04,90,18
0.05,90,18
0.05,90,18
0.06,90,18
0.06,90,18
0.07,90,18
0.07,90,18
0.08,90,18
0.08,90,18
0.09,90,18
0.09,90,18
0.1,90,18
0.1,90,18
0.11,90,18
0.11,90,18
0.12,90,18
0.12,90,18
0.13,90,18
0.13,90,18
0.14,90,18
0.14,90,18
0.15,90,18
0.15,90,18
0.16,90,18
0.16,90,18
0.17,90,18
0.17,90,18
0.18,90,18
0.18,90,18
0.19,90,18
0.19,90,18
0.2,90,18
0.2,90,18
0.21,90,18
0.21,90,18
0.22,90,18
0.22,90,18
0.23,90,18
0.23,90,18
0.24,90,18
0.24,90,18
0.25,90,18
0.25,90,18
0.26,90,18
0.26,90,18
0.27,90,18
0.27,90,18
0.28,90,18
0.28,90,18
0.29,90,18
0.29,90,18
0.3,90,18
0.3,90,18
0.31,90,18
0.31,90,18
0.32,90,18
0.32,90,18
0.33,90,18
0.33,90,18
0.34,90,18
0.34,90,18
0.35,90,18
0.35,90,18
0.36,90,18
0.36,90,18
0.37,90,18
0.37,90,18
0.38,90,18
0.38,90,18
0.39,90,18
0.39,90,18
0.4,90,18
0.4,90,18
0.41,90,18
0.41,90,18
0.42,90,18
0.42,90,18
0.43,90,18
0.43,90,18
0.44,90,18
0.44,90,18
0.45,90,18
0.45,90,18
0.46,90,18
0.46,90,18
0.47,90,18
0.47,90,18
0.48,90,18
0.48,90,18
0.49,90,18
0.49,90,18
0.5,90,18
0.5,90,18
0.51,90,18
0.51,90,18
0.52,90,18
0.52,90,18
0.53,90,18
0.53,90,18
0.54,90,18
0.54,90,18
0.55,90,18
0.55,90,18
0.56,90,18
0.56,90,18
0.57,90,18
0.57,90,18
0.58,90,18
0.58,90,18
0.59,90,18
0.59,90,18
0.6,90,18
0.6,90,18
0.61,90,18
0.61,90,18
0.62,90,18
0.62,90,18
0.63,90,18
0.63,90,18
0.64,90,18
0.64,90,18
0.65,90,18
0.65,90,18
0.66,90,18
0.66,90,18
0.67,90,18
0.67,90,18
0.68,90,18
0.68,90,18
0.69,90,18
0.69,90,18
0.7,90,18
0.7,90,18
0.71,90,18
0.71,90,18
0.72,90,18
0.72,90,18
0.73,90,18
0.73,90,18
0.74,90,18
0.74,90,18
0.75,90,18
0.75,90,18
0.76,90,18
0.76,90,18
0.77,90,18
0.77,90,18
0.78,90,18
0.78,90,18
0.79,90,18
0.79,90,18
0.8,90,18
0.8,90,18
0.81,90,18
0.81,90,18
0.82,90,18
0.82,90,18
0.83,90,18
0.83,90,18
0.84,90,18
0.84,90,18
0.85,90,18
0.85,90,18
0.86,90,18
0.86,90,18
0.87,90,18
0.87,90,18
0.88,90,18
0.88,90,18
0.89,90,18
0.89,90,18
0.9,90,18
0.9,90,18
0.91,90,18
0.91,90,18
0.92,90,18
0.92,90,18
0.93,90,18
0.93,90,18
0.94,90,18
0.94,90,18
0.95,90,18
0.95,90,18
0.96,90,18
0.96,90,18
0.97,90,18
