lot,gridPips,tpMoney
0.01,130,3
0.01,130,5
0.01,130,6
0.01,130,8
0.01,130,10
0.02,130,12.53
0.02,130,13.13
0.02,130,14.47
0.02,130,16.55
0.02,130,19.39
0.03,130,22.97
0.03,130,27.29
0.03,130,32.36
0.04,130,38.18
0.04,130,44.75
0.05,130,52.06
0.05,130,60.11
0.06,130,68.92
0.06,130,78.46
0.07,130,88.76
0.07,130,99.8
0.08,130,111.59
0.08,130,124.12
0.09,130,137.4
0.09,130,151.43
0.1,130,166.2
0.1,130,181.72
0.11,130,197.98
0.11,130,214.99
0.12,130,232.75
0.12,130,251.25
0.13,130,270.5
0.13,130,290.49
0.14,130,311.24
0.14,130,332.72
0.15,130,354.96
0.15,130,377.94
0.16,130,401.66
0.16,130,426.13
0.17,130,451.35
0.17,130,477.32
0.18,130,504.03
0.18,130,531.48
0.19,130,559.69
0.19,130,588.64
0.2,130,618.33
0.2,130,648.77
0.21,130,679.96
0.21,130,711.89
0.22,130,744.57
0.22,130,778
0.23,130,812.17
0.23,130,847.09
0.24,130,882.76
0.24,130,919.17
0.25,130,956.32
0.25,130,994.23
0.26,130,1032.88
0.26,130,1072.27
0.27,130,1112.41
0.27,130,1153.3
0.28,130,1194.93
0.28,130,1237.31
0.29,130,1280.44
0.29,130,1324.31
0.3,130,1368.93
0.3,130,1414.3
0.31,130,1460.41
0.31,130,1507.26
0.32,130,1554.87
0.32,130,1603.22
0.33,130,1652.31
0.33,130,1702.15
0.34,130,1752.74
0.34,130,1804.08
0.35,130,1856.16
0.35,130,1908.98
0.36,130,1962.56
0.36,130,2016.87
0.37,130,2071.94
0.37,130,2127.75
0.38,130,2184.31
0.38,130,2241.61
0.39,130,2299.66
0.39,130,2358.46
0.4,130,2418
0.4,130,2478.29
0.41,130,2539.32
0.41,130,2601.1
0.42,130,2663.63
0.42,130,2726.9
0.43,130,2790.92
0.43,130,2855.68
0.44,130,2921.19
0.44,130,2987.45
0.45,130,3054.46
0.45,130,3122.2
0.46,130,3190.7
0.46,130,3259.94
0.47,130,3329.93
0.47,130,3400.67
0.48,130,3472.15
0.48,130,3544.37
0.49,130,3617.35
0.49,130,3691.06
0.5,130,3765.53
0.5,130,3840.74
0.51,130,3916.7
0.51,130,3993.4
0.52,130,4070.85
0.52,130,4149.05
0.53,130,4227.99
0.53,130,4307.68
0.54,130,4388.11
0.54,130,4469.29
0.55,130,4551.22
0.55,130,4633.89
0.56,130,4717.31
0.56,130,4801.48
0.57,130,4886.39
0.57,130,4972.05
0.58,130,5058.45
0.58,130,5145.6
0.59,130,5233.5
0.59,130,5322.14
0.6,130,5411.53
0.6,130,5501.66
0.61,130,5592.54
0.61,130,5684.17
0.62,130,5776.54
0.62,130,5869.66
0.63,130,5963.53
0.63,130,6058.14
0.64,130,6153.5
0.64,130,6249.6
0.65,130,6346.45
0.65,130,6444.05
0.66,130,6542.39
0.66,130,6641.48
0.67,130,6741.31
0.67,130,6841.9
0.68,130,6943.22
0.68,130,7045.3
0.69,130,7148.12
0.69,130,7251.68
0.7,130,7355.99
0.7,130,7461.05
0.71,130,7566.86
0.71,130,7673.41
0.72,130,7780.7
0.72,130,7888.74
0.73,130,7997.53
0.73,130,8107.07
0.74,130,8217.35
0.74,130,8328.38
0.75,130,8440.15
0.75,130,8552.67
0.76,130,8665.94
0.76,130,8779.95
0.77,130,8894.71
0.77,130,9010.21
0.78,130,9126.46
0.78,130,9243.46
0.79,130,9361.2
0.79,130,9479.69
0.8,130,9598.92
0.8,130,9718.91
0.81,130,9839.63
0.81,130,9961.11
0.82,130,10083.33
0.82,130,10206.29
0.83,130,10330
0.83,130,10454.46
0.84,130,10579.67
0.84,130,10705.62
0.85,130,10832.31
0.85,130,10959.76
0.86,130,11087.95
0.86,130,11216.88
0.87,130,11346.56
0.87,130,11476.99
0.88,130,11608.16
0.88,130,11740.08
0.89,130,11872.75
0.89,130,12006.16
0.9,130,12140.32
0.9,130,12275.23
0.91,130,12410.88
0.91,130,12547.27
0.92,130,12684.42
0.92,130,12822.31
0.93,130,12960.94
0.93,130,13100.32
0.94,130,13240.45
0.94,130,13381.33
0.95,130,13522.95
0.95,130,13665.31
0.96,130,13808.42
0.96,130,13952.28
0.97,130,14096.89
