lot,gridPips,tpMoney,tpMoney
0.01,80,10,10
0.01,80,10,10
0.01,80,10,10
0.01,80,15,15
0.01,80,15,15
0.02,80,21.82,21.82
0.02,80,22.48,22.48
0.02,80,24.14,24.14
0.02,80,26.79,26.79
0.02,80,30.44,30.44
0.03,80,35.09,35.09
0.03,80,40.72,40.72
0.03,80,47.35,47.35
0.04,80,54.98,54.98
0.04,80,63.6,63.6
0.05,80,73.22,73.22
0.05,80,83.82,83.82
0.06,80,95.43,95.43
0.06,80,108.03,108.03
0.06,80,121.62,121.62
0.06,80,136.21,136.21
0.08,80,151.79,151.79
0.08,80,168.36,168.36
0.09,80,185.93,185.93
0.09,80,204.5,204.5
0.1,80,224.06,224.06
0.1,80,244.61,244.61
0.11,80,266.16,266.16
0.11,80,288.7,288.7
0.12,80,312.24,312.24
0.12,80,336.77,336.77
0.13,80,362.29,362.29
0.13,80,388.81,388.81
0.14,80,416.33,416.33
0.14,80,444.84,444.84
0.15,80,474.34,474.34
0.15,80,504.84,504.84
0.16,80,536.33,536.33
0.16,80,568.82,568.82
0.16,80,602.3,602.3
0.16,80,636.77,636.77
0.18,80,672.24,672.24
0.18,80,708.71,708.71
0.19,80,746.17,746.17
0.19,80,784.62,784.62
0.2,80,824.07,824.07
0.2,80,864.51,864.51
0.21,80,905.95,905.95
0.21,80,948.38,948.38
0.22,80,991.8,991.8
0.22,80,1,1
0.23,80,1,1
0.23,80,1,1
0.24,80,1,1
0.24,80,1,1
0.25,80,1,1
0.25,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,1,1
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,2,2
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,3,3
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,4,4
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,5,5
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,6,6
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,7,7
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,8,8
0.26,80,9,9
0.26,80,9,9
0.26,80,9,9
0.26,80,9,9
0.26,80,9,9
0.26,80,9,9
0.26,80,9,9
0.26,80,10,10
0.26,80,10,10
0.26,80,10,10
0.26,80,10,10
0.26,80,10,10
0.26,80,10,10
0.26,80,10,10
0.26,80,11,11
0.26,80,11,11
0.26,80,11,11
0.26,80,11,11
0.26,80,11,11
0.26,80,11,11
0.26,80,11,11
0.26,80,12,12
0.26,80,12,12
0.26,80,12,12
0.26,80,12,12
0.26,80,12,12
0.26,80,12,12
0.26,80,13,13
0.26,80,13,13
0.26,80,13,13
0.26,80,13,13
0.26,80,13,13
0.26,80,13,13
0.26,80,14,14
0.26,80,14,14
0.26,80,14,14
0.26,80,14,14
0.26,80,14,14
0.26,80,14,14
0.26,80,15,15
0.26,80,15,15
0.26,80,15,15
0.26,80,15,15
0.26,80,15,15
0.26,80,15,15
0.26,80,16,16
0.26,80,16,16
0.26,80,16,16
0.26,80,16,16
0.26,80,16,16
0.26,80,17,17
0.26,80,17,17
0.26,80,17,17
0.26,80,17,17
0.26,80,17,17
0.26,80,18,18
0.26,80,18,18
0.26,80,18,18
0.26,80,18,18
0.26,80,18,18
